date_local,category,title,description
23-Mar-15,appeal,Regional Emergency Appeal launched,"IFRC Pacific Region: Trpoical Cyclone Pam Emergency Appeal launched (CHF 5.7M) to assist 81,000 people in Vanuatu, Kiribati, Solomon Islands, Tuvalu, and Papua New Guinea"
24-Mar-15,situation,Phone network and schools restored,Digicell (mobile phone network) restored on Tanna Island. Schools re-opened by order of government. Food distribution further rolled out.
24-Mar-15,operations,Shelter distributions in Tanna begin,Shelter distributions in Tanna start (397 HH)
24-Mar-15,operations,Distributions continue,Port Vila urban shelter relief items continued and initiated 2nd team (88HH); Efate offshore island distribution continues (140 HH); Melle (north of Port Vila) and Taana water treatment continued.
25-Mar-15,operations,Distributions continue,Taana distributions continue; Port Vila urban shelter relief items continued; Efate offshore island distributions continue; Melle and Taana water treatment continue
25-Mar-15,operations,Distributions on Efate rural are finished,Distributions on Efate rural north and east are finished (40HH)
25-Mar-15,coordination,Recovery planning begins,"Initiated discussions between VRCS, FRC, OZRC and IFRC on future recovery and longer-term program planning. Broad outline made, concept paper to follow soon."
26-Mar-15,operations,Distribution reporting numbers,"As of 3/26/15, VRCS, with support of IFRC FACT team, has distributed basic relief items to around 1,200 HH and support evacuation centers with tarpaulins. In total, the Red Cross has reached more than 6,500 people. Current distribution plans cover up to 4,000 households. "
27-Mar-15,situation,IFRC charters KL plane with relief items,IFRC sending a chartered plane from Kuala Lumpur to Port Vila to ensure relief items are readily available.
27-Mar-15,hr,Logistics ERU called up,Two-person Logistics ERU team from British Red Cross deployed
27-Mar-15,hr,Logistics ERU team leader arrives,"The Logistics ERU Team Leader (Richard North, British Red Cross) arrives in country."
